Country or Area,Year,Unit,Value,Value Footnotes
Bulgaria,2009,Mil. USD,238.1474263,
Bulgaria,2008,Metric tons,39829,
Bulgaria,2008,Mil. USD,164.5331372,
Bulgaria,2007,Metric tons,42987,
Bulgaria,2007,Mil. USD,120.3596795,
Bulgaria,2006,Metric tons,48157,
Bulgaria,2006,Mil. USD,112.2322459,
Bulgaria,2005,Metric tons,42097,
Bulgaria,2005,Mil. USD,113.0780959,
Bulgaria,2004,Metric tons,47667,
Bulgaria,2004,Mil. USD,136.4984972,
Bulgaria,2003,Metric tons,32257,
Bulgaria,2003,Mil. USD,70.41027451,
Bulgaria,2002,Metric tons,30954,
Bulgaria,2002,Mil. USD,59.70221115,
Bulgaria,2001,Metric tons,31027,
Bulgaria,2001,Mil. USD,61.79314554,
Bulgaria,2000,Metric tons,31263,
Bulgaria,2000,Mil. USD,68.76170067,
Bulgaria,1999,Metric tons,33442,
Bulgaria,1999,Mil. USD,83.5822223,
Bulgaria,1998,Metric tons,33513,
Bulgaria,1998,Mil. USD,84.07379179,
Cabo Verde,1995,Metric tons,70,
Cambodia,2006,Metric tons,14.2,
Cambodia,2005,Metric tons,14.2,
Cambodia,2004,Metric tons,2.5,
Cambodia,2003,Metric tons,7.6,
Cambodia,2002,Metric tons,2.5,
Cambodia,2001,Metric tons,4.7,
Cambodia,2000,Metric tons,8,
Cambodia,1999,Metric tons,6.4,
Cambodia,1998,Metric tons,10.1,
Cambodia,1997,Metric tons,10.5,
Canada,2016,Mil. USD,47.8346291,
Canada,2013,Mil. USD,46.06249562,
Canada,2003,Metric tons,5317,
Canada,2003,Mil. USD,134.2562908,
Canada,2002,Mil. USD,140.3156997,
Canada,2001,Mil. USD,131.6536392,
Canada,1998,Metric tons,7686,
Canada,1998,Mil. USD,107.923144,
China,1997,Metric tons,2056000,
China,1996,Metric tons,1681800,
China,1995,Metric tons,1253200,
"China, Macao Special Administrative Region",2001,Metric tons,41,
"China, Macao Special Administrative Region",2001,Mil. USD,0.373436236,
"China, Macao Special Administrative Region",1997,Metric tons,1107,
"China, Macao Special Administrative Region",1997,Mil. USD,12.66411364,
Colombia,1999,Metric tons,4,
Colombia,1998,Metric tons,3,
Colombia,1997,Metric tons,5,
Colombia,1995,Metric tons,6,
Croatia,2016,Metric tons,8568,
Croatia,2016,Mil. USD,23.81347387,2
Croatia,2015,Metric tons,7302,
Croatia,2014,Metric tons,7137,
Croatia,2013,Metric tons,9335,
Croatia,2012,Metric tons,9452,
Croatia,2011,Metric tons,8748,
Croatia,2010,Metric tons,12529,
Croatia,2009,Metric tons,12982,
Croatia,2008,Metric tons,12822,
Croatia,2007,Metric tons,12296,
Croatia,2006,Metric tons,16812,
Croatia,2005,Metric tons,11843,
Croatia,2004,Metric tons,12689,
Cuba,2016,Metric tons,0,
Cuba,2015,Metric tons,0,
Cuba,2014,Metric tons,0,
Cuba,2013,Metric tons,0,
Cuba,2012,Metric tons,0,
Cuba,2011,Metric tons,0,
Cuba,2010,Metric tons,0,
Cuba,2009,Metric tons,0,
Cuba,2008,Metric tons,0,
Cuba,2007,Metric tons,0,
Cuba,2006,Metric tons,0,
Cuba,2005,Metric tons,1,
Cuba,2004,Metric tons,1,
Cuba,2003,Metric tons,2,
Cuba,2002,Metric tons,0,
Cuba,2001,Metric tons,1,
Cuba,2000,Metric tons,7,
Cuba,1999,Metric tons,20,
Cuba,1998,Metric tons,7,
Cuba,1997,Metric tons,3,
Cuba,1996,Metric tons,4,
Cuba,1995,Metric tons,3,
Cyprus,2007,Metric tons,0,
Cyprus,2007,Mil. USD,0,
Cyprus,2006,Metric tons,0,
Cyprus,2006,Mil. USD,0,
Cyprus,2005,Metric tons,334,
Cyprus,2005,Mil. USD,2.154844974,
Cyprus,2004,Metric tons,254,
Cyprus,2004,Mil. USD,2.134013704,
Cyprus,2003,Metric tons,350,
Cyprus,2003,Mil. USD,1.932579036,
Cyprus,2002,Metric tons,357,
Cyprus,2002,Mil. USD,1.63757249,
Denmark,2016,Metric tons,5110.417,2
Denmark,2016,Mil. USD,159.8958769,2
Denmark,2015,Metric tons,4948,
Denmark,2015,Mil. USD,145.3401518,
Denmark,2014,Metric tons,5433,
Denmark,2014,Mil. USD,173.6361315,
Denmark,2013,Metric tons,5559,
Denmark,2013,Mil. USD,154.7141698,
Denmark,2012,Metric tons,5473,
Denmark,2012,Mil. USD,139.5860841,
Denmark,2011,Metric tons,5385,
Denmark,2011,Mil. USD,161.7920808,
Denmark,2010,Metric tons,4200,
Denmark,2010,Mil. USD,130.2845357,
Denmark,2009,Metric tons,4610,
Denmark,2009,Mil. USD,131.4451643,
Denmark,2008,Metric tons,3998,
Denmark,2008,Mil. USD,126.9006271,
Denmark,2007,Metric tons,3362.691,
Denmark,2007,Mil. USD,116.7314332,
Denmark,2006,Metric tons,3225,
Denmark,2006,Mil. USD,102.2970701,
Denmark,2005,Metric tons,3431,
Denmark,2005,Mil. USD,100.7990782,
Denmark,2004,Metric tons,3698,
Denmark,2004,Mil. USD,105.4703761,
Denmark,2003,Metric tons,3988,
Denmark,2003,Mil. USD,104.5780453,
Denmark,2002,Metric tons,3434,
Denmark,2002,Mil. USD,81.34430031,
Denmark,2001,Metric tons,3095,
Denmark,2001,Mil. USD,71.32764836,
Denmark,2000,Metric tons,3659,
Denmark,2000,Mil. USD,78.36962783,
Denmark,1999,Metric tons,4015,
Denmark,1999,Mil. USD,89.69358852,
Denmark,1998,Metric tons,4119,
Denmark,1998,Mil. USD,92.44799647,
Denmark,1997,Metric tons,4032,
Denmark,1997,Mil. USD,90.80516434,
Denmark,1996,Metric tons,4066,
Denmark,1996,Mil. USD,102.4082814,
Denmark,1995,Metric tons,4321,
Denmark,1995,Mil. USD,108.4015089,
Ecuador,2016,Metric tons,2622.417,
Ecuador,2016,Mil. USD,12.46387,
Ecuador,2015,Metric tons,1987.842,
Ecuador,2015,Mil. USD,11.761998,
Ecuador,2014,Metric tons,3075.198896,
Ecuador,2014,Mil. USD,15.516749,
Ecuador,2013,Metric tons,3581.689091,
Ecuador,2013,Mil. USD,12.409856,
Ecuador,2012,Metric tons,3745.788924,
Ecuador,2012,Mil. USD,12.97843,
Ecuador,2011,Metric tons,257.27529,
Ecuador,2011,Mil. USD,1.662552,
Ecuador,2010,Metric tons,2204.64,
Ecuador,2010,Mil. USD,9.10681,
Ecuador,2009,Metric tons,1688.14,
Ecuador,2009,Mil. USD,8.329896,
Ecuador,2008,Metric tons,1805,
Ecuador,2008,Mil. USD,5.325,
Ecuador,2007,Metric tons,2322.04,
Ecuador,2007,Mil. USD,8.381166,
Ecuador,2006,Metric tons,0,
Ecuador,2006,Mil. USD,0,
Ecuador,2005,Metric tons,0,
Ecuador,2005,Mil. USD,0,
Ecuador,2004,Metric tons,0,
Ecuador,2004,Mil. USD,0,
Egypt,2016,Metric tons,55723,5
Egypt,2016,Mil. USD,87.17217579,5
Egypt,2015,Metric tons,56035,
Egypt,2015,Mil. USD,129.8910993,
Egypt,2014,Metric tons,61060,
Egypt,2014,Mil. USD,143.2123564,
Egypt,2009,Metric tons,63144,
Egypt,2009,Mil. USD,148.8098236,
Egypt,2008,Metric tons,59138,
Egypt,2008,Mil. USD,151.5421206,
Egypt,2006,Metric tons,63397,
Egypt,2006,Mil. USD,141.4071921,
Egypt,2005,Metric tons,75290,
Egypt,2005,Mil. USD,124.327171,
Egypt,2004,Metric tons,56553,
Egypt,2004,Mil. USD,91.96494111,
Egypt,2003,Metric tons,20188,
Egypt,2003,Mil. USD,423.0358707,
Egypt,2002,Metric tons,41965,
Egypt,2002,Mil. USD,101.2206089,
Egypt,2001,Metric tons,47407,
Egypt,2001,Mil. USD,124.0473194,
Egypt,2000,Metric tons,27761,
Egypt,2000,Mil. USD,99.29897323,
Egypt,1999,Metric tons,41723,
Egypt,1999,Mil. USD,115.1108166,
Egypt,1998,Metric tons,37356,
Egypt,1997,Metric tons,38290,
Egypt,1996,Metric tons,37564,
Egypt,1995,Metric tons,32520,
Estonia,2016,Metric tons,0,2
Estonia,2016,Mil. USD,0,2
Finland,2016,Metric tons,0,2
Finland,2016,Mil. USD,0,
Finland,2015,Mil. USD,0,
Finland,2014,Mil. USD,0,
Finland,2013,Mil. USD,0,
Finland,2012,Mil. USD,0,
Finland,2011,Mil. USD,0,
Finland,2010,Mil. USD,0,
Finland,2009,Metric tons,0,
Finland,2009,Mil. USD,0,
Finland,2008,Metric tons,0,
Finland,2008,Mil. USD,0,
Finland,2007,Metric tons,0,
Finland,2007,Mil. USD,0,
Finland,2006,Metric tons,0,
Finland,2006,Mil. USD,0,
Finland,2005,Metric tons,0,
Finland,2005,Mil. USD,0,
Finland,2004,Metric tons,24,
Finland,2004,Mil. USD,0,
Finland,2003,Metric tons,109,
Finland,2003,Mil. USD,2.257249297,
Finland,2002,Metric tons,112,
Finland,2002,Mil. USD,1.882261412,
Finland,2001,Metric tons,136,
Finland,2001,Mil. USD,1.789693157,
Finland,2000,Metric tons,89,
Finland,2000,Mil. USD,1.842637244,
Finland,1999,Metric tons,198,
Finland,1999,Mil. USD,2.130771235,
Finland,1998,Metric tons,109,
Finland,1998,Mil. USD,2.225170941,
Finland,1997,Metric tons,995,
Finland,1997,Mil. USD,4.581184201,
Finland,1996,Metric tons,1094,
Finland,1995,Metric tons,980,
France,2016,Metric tons,0,2
France,2016,Mil. USD,0,2
France,2005,Metric tons,3400,
France,2005,Mil. USD,80.83370641,
France,2004,Metric tons,3548,
France,2004,Mil. USD,83.19209303,
France,2003,Metric tons,3509,
France,2003,Mil. USD,58.68848173,
France,2002,Metric tons,3560,
France,2002,Mil. USD,46.11540458,
France,2001,Metric tons,3941,
France,2001,Mil. USD,43.84748235,
France,2000,Metric tons,4155,
France,2000,Mil. USD,47.90856834,
France,1999,Metric tons,3916,
France,1998,Metric tons,3781,
France,1997,Metric tons,3807,
France,1996,Metric tons,4362,
France,1995,Metric tons,4086,
Germany,2016,Metric tons,51048.548,
Germany,2015,Metric tons,52863.556,
Germany,2014,Metric tons,45842.627,
Germany,2014,Mil. USD,692.2874024,
Germany,2013,Metric tons,44300.411,
Germany,2008,Metric tons,30277,
Germany,2007,Metric tons,31719.1,
Germany,2006,Metric tons,34285,
Germany,2005,Metric tons,38017.11,
Germany,2004,Metric tons,33960.563,
Germany,2003,Metric tons,30292.05,
Germany,2002,Metric tons,23257.848,
Germany,2002,Mil. USD,205.8290809,
Germany,2001,Metric tons,31897.887,
Germany,2001,Mil. USD,238.4852252,
Germany,2000,Metric tons,30290.669,
Germany,2000,Mil. USD,212.4707563,
Germany,1999,Metric tons,28080.942,
Germany,1999,Mil. USD,236.8421724,
Germany,1998,Metric tons,29835.359,
Germany,1998,Mil. USD,266.1094811,
Germany,1997,Metric tons,23401.007,
Germany,1997,Mil. USD,230.4669563,
Germany,1996,Metric tons,16510.064,
Germany,1996,Mil. USD,209.6239569,
Germany,1995,Metric tons,18792.806,
Germany,1995,Mil. USD,255.1828878,
Greece,2016,Metric tons,15933.514,
Greece,2016,Mil. USD,76.04538902,
Greece,2015,Metric tons,11440.773,
Greece,2015,Mil. USD,68.20527893,
Greece,2014,Metric tons,14763.904,
Greece,2014,Mil. USD,108.0063675,
Greece,2013,Metric tons,13632.42,
Greece,2013,Mil. USD,96.79954483,
Greece,2004,Metric tons,400.09,6
Greece,2004,Mil. USD,1.119751914,6
Greece,2003,Metric tons,1493.549,6
Greece,2003,Mil. USD,3.254736791,6
Greece,2002,Metric tons,3339.808,6
Greece,2002,Mil. USD,5.37557954,6
Greece,2001,Metric tons,4440.622,6
Greece,2001,Mil. USD,12.03779601,6
Greece,2000,Metric tons,4135.809,6
Greece,2000,Mil. USD,13.81096284,6
Greece,1999,Metric tons,4407.549,6
Greece,1999,Mil. USD,15.58050354,6
Greece,1998,Metric tons,2282,
Greece,1996,Metric tons,72.017,6
Greece,1996,Mil. USD,0.359363706,6
Greece,1995,Metric tons,18.407,6
Greece,1995,Mil. USD,0.591182935,6
Hungary,2016,Metric tons,2309,
Hungary,2016,Mil. USD,61.52243154,
Hungary,2015,Metric tons,1974,
Hungary,2015,Mil. USD,56.35219675,
Hungary,2014,Metric tons,2185,
Hungary,2014,Mil. USD,70.012396,
Hungary,2013,Metric tons,2696,
Hungary,2013,Mil. USD,98.33031583,
Hungary,2012,Metric tons,3092,
Hungary,2012,Mil. USD,104.378341,
Hungary,2011,Metric tons,8982,
Hungary,2011,Mil. USD,124.607699,
Hungary,2010,Metric tons,9274,
Hungary,2010,Mil. USD,117.9306945,
Hungary,2009,Metric tons,7434,
Hungary,2009,Mil. USD,74.25559079,
Hungary,2008,Metric tons,7895,
Hungary,2008,Mil. USD,78.77367626,
Hungary,2004,Metric tons,1450,
Hungary,2004,Mil. USD,36.79483754,
Hungary,2003,Metric tons,1465,
Hungary,2003,Mil. USD,23.28062771,
Iceland,2016,Metric tons,0,2
Iceland,2016,Mil. USD,0,2
India,2015,Mil. USD,2303.172791,
India,2014,Mil. USD,1200.914044,
India,2013,Mil. USD,1281.668472,
India,2012,Mil. USD,1545.542413,
India,2011,Mil. USD,1378.687093,
India,2005,Metric tons,5184,
India,2005,Mil. USD,7.003724696,
India,2004,Mil. USD,3.249525919,
India,2003,Metric tons,1530,
India,2003,Mil. USD,1.192992787,
Indonesia,2002,Metric tons,79112,
Indonesia,2001,Metric tons,162149,
Indonesia,2000,Metric tons,243391,
Indonesia,1999,Metric tons,127935,
Indonesia,1998,Metric tons,144589,
Indonesia,1997,Metric tons,141838,
Indonesia,1995,Metric tons,112448,
Iran (Islamic Republic of),2009,Metric tons,1826.952,
Iran (Islamic Republic of),2009,Mil. USD,8.321632002,
Iran (Islamic Republic of),2008,Metric tons,4947,
Iran (Islamic Republic of),2007,Metric tons,900,
Iran (Islamic Republic of),2006,Metric tons,1073,
Iran (Islamic Republic of),2005,Metric tons,12601,
Iran (Islamic Republic of),2004,Metric tons,8765.66,
Iran (Islamic Republic of),1998,Metric tons,2509,7
Iran (Islamic Republic of),1997,Metric tons,3754,7
Iran (Islamic Republic of),1996,Metric tons,2520,7
Iran (Islamic Republic of),1995,Metric tons,3546,7
Ireland,2004,Metric tons,9306,
Ireland,2004,Mil. USD,107.9237364,
Ireland,2003,Metric tons,9513,
Ireland,2003,Mil. USD,103.8334677,
Ireland,2002,Metric tons,8145,
Ireland,2002,Mil. USD,86.16898629,
Ireland,2001,Metric tons,7478,
Ireland,2001,Mil. USD,76.37426063,
Ireland,2000,Metric tons,6216,
Ireland,2000,Mil. USD,67.11194497,
Ireland,1999,Metric tons,3018,
Ireland,1999,Mil. USD,42.05149159,
Ireland,1998,Metric tons,3107,
Ireland,1998,Mil. USD,44.105079,
Ireland,1997,Metric tons,3288,
Ireland,1997,Mil. USD,49.20429263,
Ireland,1996,Metric tons,3252.423,
Ireland,1996,Mil. USD,54.4262944,
Ireland,1995,Metric tons,3421.288,
Ireland,1995,Mil. USD,55.62442422,
Italy,2004,Metric tons,59941,6
Italy,2004,Mil. USD,125.8274199,6
Italy,2003,Metric tons,71966,6
Italy,2003,Mil. USD,134.6607213,6
Italy,2002,Metric tons,33,
Italy,2001,Metric tons,96,
Italy,2000,Metric tons,62,
Italy,1999,Metric tons,41,
Italy,1998,Metric tons,149,
Italy,1997,Metric tons,59,
Italy,1996,Metric tons,162,
Italy,1995,Metric tons,214,
Japan,2016,Metric tons,17,
Japan,2016,Mil. USD,3.03328618,
Japan,2015,Metric tons,3,
Japan,2015,Mil. USD,0.165229138,
Japan,2014,Metric tons,3,8
Japan,2014,Mil. USD,1.887775859,8
Japan,2013,Metric tons,8,9
Japan,2013,Mil. USD,2.049271489,9
Japan,2012,Metric tons,7,9
Japan,2012,Mil. USD,2.506565363,9
Japan,2011,Metric tons,199,9
Japan,2011,Mil. USD,3.759067713,9
Japan,2010,Metric tons,36,9
Japan,2010,Mil. USD,18.2274126,9
Japan,2009,Metric tons,3,9
Japan,2009,Mil. USD,1.068717589,9
Japan,2008,Metric tons,2,9
Japan,2008,Mil. USD,0.967496997,9
Japan,2007,Metric tons,2,9
Japan,2007,Mil. USD,0.849231447,9
Japan,2006,Metric tons,2,9
Japan,2006,Mil. USD,0.859850317,9
Japan,2005,Metric tons,9,9
Japan,2005,Mil. USD,0.907291077,9
Kazakhstan,2016,Metric tons,1,
Kazakhstan,2015,Metric tons,1,
Kazakhstan,2014,Metric tons,1,
Kazakhstan,2013,Metric tons,1,
Kazakhstan,2012,Metric tons,727,
Kazakhstan,2011,Metric tons,632,
Kazakhstan,2010,Metric tons,1240,
Kazakhstan,2009,Metric tons,2557,
Kazakhstan,2008,Metric tons,3144,
Kazakhstan,2007,Metric tons,4247,
Kazakhstan,2006,Metric tons,4808,
Kazakhstan,2005,Metric tons,6297,
Kazakhstan,2004,Metric tons,5075,
Kazakhstan,2003,Metric tons,3948,
Kazakhstan,2002,Metric tons,10528,
Kazakhstan,2001,Metric tons,11478,
Kazakhstan,2000,Metric tons,8342,
Kenya,2009,Metric tons,0,
Kenya,2009,Mil. USD,0,
Kenya,2008,Metric tons,0,
Kenya,2008,Mil. USD,0,
Kenya,2007,Metric tons,0.007,
Kenya,2007,Mil. USD,0.000103985,
Kenya,2006,Metric tons,0.3,
Kenya,2006,Mil. USD,0.005547786,
Kenya,2005,Metric tons,0.4,
Kenya,2005,Mil. USD,0.006617774,
Kenya,2004,Metric tons,0.43,
Kenya,2004,Mil. USD,0.004925867,
Kenya,2003,Metric tons,0.4,
Kenya,2003,Mil. USD,0.005267624,
Kenya,2002,Metric tons,0.61,
Kenya,2002,Mil. USD,0.007492145,
Kenya,2001,Metric tons,0.8,
Kenya,2001,Mil. USD,0.012092176,
Kenya,2000,Metric tons,0.83,
Kenya,2000,Mil. USD,0.006826338,
Kenya,1999,Metric tons,0.82,
Kenya,1999,Mil. USD,0.015499199,
Kenya,1998,Metric tons,0.9,
Kenya,1998,Mil. USD,0.016068462,
Kenya,1997,Metric tons,1.23,
Kenya,1997,Mil. USD,0.018558928,
Kenya,1996,Metric tons,1.16,
Kenya,1996,Mil. USD,0.019259434,
Kenya,1995,Metric tons,1.01,
Kenya,1995,Mil. USD,0.018666209,
Kyrgyzstan,2015,Metric tons,1985,
Kyrgyzstan,2014,Metric tons,5731.4,
Kyrgyzstan,2013,Metric tons,5771.1,
Kyrgyzstan,2012,Metric tons,4371.9,
Kyrgyzstan,2011,Metric tons,7756.2,
Kyrgyzstan,2010,Metric tons,8611.6,
Kyrgyzstan,2009,Metric tons,7847.5,
Kyrgyzstan,2008,Metric tons,8578,
Kyrgyzstan,2007,Metric tons,8184.4,
Kyrgyzstan,2005,Metric tons,8589.3,
Kyrgyzstan,2004,Metric tons,8598.9,
Kyrgyzstan,2003,Metric tons,13313.4,
Kyrgyzstan,2002,Metric tons,21159.4,
Kyrgyzstan,2001,Metric tons,27375.7,
Kyrgyzstan,2000,Metric tons,31858.8,
Kyrgyzstan,1999,Metric tons,38372.1,
Kyrgyzstan,1998,Metric tons,40313.3,
Kyrgyzstan,1997,Metric tons,24270.8,
Kyrgyzstan,1996,Metric tons,10735.5,
Kyrgyzstan,1995,Metric tons,17342.1,
Lao People's Democratic Republic,2000,Metric tons,39.8,3
Lao People's Democratic Republic,1999,Metric tons,23.4,3
Lao People's Democratic Republic,1998,Metric tons,25.6,3
Lao People's Democratic Republic,1997,Metric tons,28,3
Lao People's Democratic Republic,1996,Metric tons,26,3
Latvia,2016,Metric tons,0,2
Latvia,2016,Mil. USD,0,2
Lebanon,2007,Metric tons,577.3,
Lebanon,2006,Metric tons,744.1,
Lebanon,2005,Metric tons,655.3,
Lebanon,2004,Metric tons,1803.3,
Lebanon,2003,Metric tons,2023.8,
Lebanon,2002,Metric tons,2122.3,
Lebanon,2001,Metric tons,1457.2,
Lebanon,2000,Metric tons,1008.9,
Lebanon,1999,Metric tons,945.1,
Lebanon,1998,Metric tons,671.6,
Lebanon,1997,Metric tons,793,
Lebanon,1996,Metric tons,539,
Lebanon,1995,Metric tons,535,
Lithuania,2016,Metric tons,0,
Lithuania,2016,Mil. USD,0,
Lithuania,2015,Metric tons,0,
Lithuania,2015,Mil. USD,0,
Lithuania,2014,Metric tons,0,
Lithuania,2014,Mil. USD,0,
Lithuania,2013,Metric tons,0,
Lithuania,2013,Mil. USD,0,
Lithuania,2012,Metric tons,0,
Lithuania,2012,Mil. USD,0,
Lithuania,2011,Metric tons,0,
Lithuania,2011,Mil. USD,0,
Lithuania,2010,Metric tons,0,
Lithuania,2010,Mil. USD,0,
Lithuania,2009,Metric tons,0,
Lithuania,2009,Mil. USD,0,
Lithuania,2008,Metric tons,0,
Lithuania,2008,Mil. USD,0,
Lithuania,2007,Metric tons,0,
Lithuania,2007,Mil. USD,0,
Lithuania,2006,Metric tons,0,
Lithuania,2006,Mil. USD,0,
Lithuania,2005,Metric tons,0,
Lithuania,2005,Mil. USD,0,
Lithuania,2004,Metric tons,0,
Lithuania,2004,Mil. USD,0,
Lithuania,2003,Metric tons,0,
Lithuania,2003,Mil. USD,0,
Lithuania,2002,Metric tons,0,
Lithuania,2002,Mil. USD,0,
Lithuania,2001,Metric tons,0,
Lithuania,2001,Mil. USD,0,
Lithuania,2000,Metric tons,0,
Lithuania,2000,Mil. USD,0,
Lithuania,1999,Metric tons,0,
Lithuania,1999,Mil. USD,0,
Lithuania,1998,Metric tons,0,
Lithuania,1998,Mil. USD,0,
Lithuania,1997,Metric tons,0,
Lithuania,1997,Mil. USD,0,
Luxembourg,2016,Metric tons,0,2
Luxembourg,2016,Mil. USD,0,2
Madagascar,2006,Metric tons,3.646674496,
Madagascar,2005,Metric tons,3.473869501,
Madagascar,2004,Metric tons,3.3,
Madagascar,2004,Mil. USD,0.003906129,
Madagascar,1998,Metric tons,299,
Madagascar,1997,Metric tons,177,
Madagascar,1996,Metric tons,438,
Madagascar,1995,Metric tons,224,
Malawi,2015,Metric tons,189789.8,
Malawi,2014,Metric tons,191967.5,
Malawi,2013,Metric tons,168667.3,
Malawi,2012,Metric tons,151500,
Malawi,2011,Metric tons,237169.7,
Malawi,2010,Metric tons,220198,
Malawi,2009,Metric tons,160050,
Malawi,2008,Metric tons,208154,
Malawi,2007,Metric tons,160236,
Malawi,2006,Metric tons,117412,
